repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
Microchip-MPLAB-Harmony/net_apps_sam_e70_v71,https://github.com/Microchip-MPLAB-Harmony/net_apps_sam_e70_v71,4,2,2,0,0,0,0
Microchip-MPLAB-Harmony/wireless_ble,https://github.com/Microchip-MPLAB-Harmony/wireless_ble,0,0,0,0,0,0,0
MicrochipTech/fpga-hls-libraries,https://github.com/MicrochipTech/fpga-hls-libraries,13,4,0,0,3,26,29
microsoft/Windows-driver-samples,https://github.com/Microsoft/Windows-Driver-Samples,7634,5026,38,82,125,537,662
microsoft/Windows-driver-samples,https://github.com/Microsoft/Windows-driver-samples,7634,5026,38,82,125,537,662
MiguelAgueda/MPU6050,https://github.com/MiguelAgueda/MPU6050,3,0,0,0,0,0,0
MimiHearingTechnologies/tflite-micro-xtensa,https://github.com/MimiHearingTechnologies/tflite-micro-xtensa,0,1,0,0,0,0,0
MotorolaMobilityLLC/kernel-mtk,https://github.com/MotorolaMobilityLLC/kernel-mtk,134,99,22,0,2,3,5
NCAR/sm750fb_centos8,https://github.com/NCAR/sm750fb_centos8,0,0,0,0,0,1,1
NVIDIA-AI-IOT/deepstream_python_apps,https://github.com/NVIDIA-AI-IOT/deepstream_python_apps,1786,534,0,8,10,0,10
NVIDIA-AI-IOT/deepstream_reference_apps,https://github.com/NVIDIA-AI-IOT/deepstream_reference_apps,1287,363,0,14,4,1,5
NVIDIA-AI-IOT/jetbot,https://github.com/NVIDIA-AI-IOT/jetbot,3220,1053,50,14,32,87,119
NVIDIA-AI-IOT/jetson-cloudnative-demo,https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo,196,44,7,0,0,0,0
NVIDIA-AI-IOT/jetson_benchmarks,https://github.com/NVIDIA-AI-IOT/jetson_benchmarks,400,75,23,2,1,2,3
NVIDIA-AI-IOT/torch2trt,https://github.com/NVIDIA-AI-IOT/torch2trt,4855,697,299,44,48,124,172
NVIDIA-ISAAC-ROS/isaac_ros_common,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_common,289,209,58,13,23,49,72
NVIDIA/CUDALibrarySamples,https://github.com/NVIDIA/CUDALibrarySamples,2317,448,54,0,30,9,39
NVIDIA/TensorRT,https://github.com/NVIDIA/TensorRT,12694,2315,515,55,157,307,464
NVIDIA/cuda-python,https://github.com/NVIDIA/cuda-python,3161,245,212,29,113,732,845
NVIDIA/cuda-samples,https://github.com/NVIDIA/cuda-samples,8850,2269,66,35,21,25,46
NVIDIA/edk2-nvidia,https://github.com/NVIDIA/edk2-nvidia,125,57,20,6,23,61,84
NVIDIA/jetson-gpio,https://github.com/NVIDIA/jetson-gpio,1043,266,1,3,14,13,27
NVIDIA/nvidia-container-toolkit,https://github.com/NVIDIA/nvidia-container-toolkit,4078,478,86,17,172,789,961
NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,16712,1582,238,52,116,11,127
nxp-appcodehub/an-dsp_for_lpc553x_using_pq,https://github.com/NXP-AppCodeHub/an-dsp_for_lpc553x_using_pq,0,1,0,0,0,0,0
nxp-mcuxpresso/mcux-freertos-drivers,https://github.com/NXP-MCUXpresso/mcux-freertos-drivers,1,0,1,0,0,0,0
nxp-mcuxpresso/mcuxsdk-core,https://github.com/NXP-MCUXpresso/mcuxsdk-core,23,11,4,2,6,0,6
nxp-mcuxpresso/mcuxsdk-examples,https://github.com/NXP-MCUXpresso/mcuxsdk-examples,16,6,3,1,0,0,0
nxp-mcuxpresso/legacy-mcux-sdk,https://github.com/NXPmicro/mcux-sdk,395,154,33,14,25,82,107
NordicPlayground/nRF52-Bluetooth-Course,https://github.com/NordicPlayground/nRF52-Bluetooth-Course,197,52,3,2,0,0,0
NordicSemiconductor/ble-sdk-arduino,https://github.com/NordicSemiconductor/ble-sdk-arduino,248,96,12,7,5,0,5
NordicSemiconductor/nRF5-SDK-for-Mesh,https://github.com/NordicSemiconductor/nRF5-SDK-for-Mesh,155,83,0,5,8,0,8
NordicSemiconductor/nrfx,https://github.com/NordicSemiconductor/nrfx,296,158,10,5,32,37,69
NordicSemiconductor/pc-ble-driver,https://github.com/NordicSemiconductor/pc-ble-driver,287,144,0,3,14,194,208
OE4T/linux-tegra-5.10,https://github.com/OE4T/linux-tegra-5.10,31,35,5,0,4,5,9
OE4T/meta-tegra,https://github.com/OE4T/meta-tegra,522,280,24,6,129,722,851
OP-TEE/optee_os,https://github.com/OP-TEE/optee_os,1832,1177,31,26,866,3670,4536
ObKo/stm32-cmake,https://github.com/ObKo/stm32-cmake,1337,356,33,14,50,137,187
Open-Agriculture/AgIsoStack-plus-plus,https://github.com/Open-Agriculture/AgIsoStack-plus-plus,331,84,30,17,13,414,427
Open-CMSIS-Pack/CMSIS-Driver_STM32,https://github.com/Open-CMSIS-Pack/CMSIS-Driver_STM32,22,10,0,0,3,13,16
Open-CMSIS-Pack/STM32H7xx_DFP,https://github.com/Open-CMSIS-Pack/STM32H7xx_DFP,5,2,0,0,0,3,3
OpenAutomationTechnologies/openPOWERLINK_V2,https://github.com/OpenAutomationTechnologies/openPOWERLINK_V2,161,103,17,3,285,9,294
OpenCyphal/libcanard,https://github.com/OpenCyphal/libcanard,409,211,4,0,19,120,139
Oreoluwa-IVT/Texas-Instrument-MSP430FR,https://github.com/Oreoluwa-IVT/Texas-Instrument-MSP430FR,0,0,0,0,0,0,0
Oryx-Embedded/CycloneTCP,https://github.com/Oryx-Embedded/CycloneTCP,194,79,24,1,1,0,1
OscarM-Dev/AUTOSAR_MCAL_S32K144,https://github.com/OscarM-Dev/AUTOSAR_MCAL_S32K144,1,0,0,0,0,0,0
PX4/PX4-Autopilot,https://github.com/PX4/Firmware,11089,15065,1188,553,4163,13292,17455
PX4/NuttX,https://github.com/PX4/NuttX,162,248,10,25,105,212,317
PX4/NuttX-apps,https://github.com/PX4/NuttX-apps,29,95,2,1,7,12,19
PX4/PX4-Autopilot,https://github.com/PX4/PX4-Autopilot,11089,15065,1188,553,4163,13292,17455
PX4/PX4-Bootloader,https://github.com/PX4/PX4-Bootloader,300,564,0,0,54,147,201
PX4/PX4-GPSDrivers,https://github.com/PX4/PX4-GPSDrivers,102,221,12,11,21,137,158
PX4/PX4-SITL_gazebo-classic,https://github.com/PX4/PX4-SITL_gazebo-classic,440,836,87,13,158,518,676
PX4/PX4-Avoidance,https://github.com/PX4/avoidance,720,346,95,6,54,349,403
PaulStoffregen/SPI,https://github.com/PaulStoffregen/SPI,149,131,11,6,8,34,42
PersonalTransport/LIN,https://github.com/PersonalTransport/LIN,10,2,20,0,0,0,0
Peter-Herrmann/SAME70-FreeRTOS-Plus-TCP,https://github.com/Peter-Herrmann/SAME70-FreeRTOS-Plus-TCP,5,0,0,0,0,5,5
PiBoxY/msp430ware,https://github.com/PiBoxY/msp430ware,3,1,0,0,0,0,0
PionixPublic/ti-am62x-evse-sdk,https://github.com/PionixPublic/ti-am62x-evse-sdk,12,6,0,3,1,2,3
PowerBroker2/ELMduino,https://github.com/PowerBroker2/ELMduino,852,140,12,0,4,38,42
qgroundcontrol/qgroundcontrol,https://github.com/QGroundControl/qgroundcontrol,0,3,0,0,0,0,0
QuickSpot/walter-arduino,https://github.com/QuickSpot/walter-arduino,36,22,14,3,6,76,82
R-onit/cortex-m-baremetal-gcc-openocd,https://github.com/R-onit/cortex-m-baremetal-gcc-openocd,5,1,0,0,0,0,0
RAKWireless/RAK12033-IIM42652,https://github.com/RAKWireless/RAK12033-IIM42652,2,1,1,0,0,0,0
RT-Thread-Studio/sdk-bsp-stm32mp157a-st-ev1,https://github.com/RT-Thread-Studio/sdk-bsp-stm32mp157a-st-ev1,2,0,0,0,0,2,2
RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,11779,5351,326,90,2122,7135,9257
RT-Thread/rtthread-apps,https://github.com/RT-Thread/rtthread-apps,97,55,1,0,1,5,6
RapidIO/rapidio_sw,https://github.com/RapidIO/rapidio_sw,4,0,16,0,6,29,35
Raziz1/Hands-On-FreeRTOS,https://github.com/Raziz1/Hands-On-FreeRTOS,7,4,0,0,0,0,0
Real-Thread/bsp_tricore,https://github.com/Real-Thread/bsp_tricore,23,10,2,0,3,10,13
renesas/hal_renesas,https://github.com/Renesas/hal_renesas,0,2,0,0,0,0,0
RobTillaart/L9110,https://github.com/RobTillaart/L9110,1,0,0,0,0,0,0
RobertCNelson/u-boot,https://github.com/RobertCNelson/u-boot,88,83,0,0,7,0,7
Ryudas/ICM20649-library,https://github.com/Ryudas/ICM20649-library,1,1,0,0,0,0,0
SDibla/Cortex-M4-MCP2517FD_Driver,https://github.com/SDibla/Cortex-M4-MCP2517FD_Driver,6,4,0,0,0,0,0
SENSING-Technology/nvidia-jetson-camera-drivers,https://github.com/SENSING-Technology/nvidia-jetson-camera-drivers,43,8,1,1,0,0,0
STM32World/stm32fun,https://github.com/STM32World/stm32fun,38,14,0,0,0,3,3
STMicroelectronics/Mp1AmpSTSDK_Python,https://github.com/STMicroelectronics/Mp1AmpSTSDK_Python,2,3,0,0,1,0,1
STMicroelectronics/OpenOCD,https://github.com/STMicroelectronics/OpenOCD,181,48,19,4,5,0,5
STMicroelectronics/STM32CubeF0,https://github.com/STMicroelectronics/STM32CubeF0,180,65,0,0,1,0,1
STMicroelectronics/STM32CubeF4,https://github.com/STMicroelectronics/STM32CubeF4,1188,471,2,0,34,6,40
STMicroelectronics/STM32CubeF7,https://github.com/STMicroelectronics/STM32CubeF7,381,206,3,0,17,3,20
STMicroelectronics/STM32CubeH7,https://github.com/STMicroelectronics/STM32CubeH7,703,356,7,0,35,8,43
STMicroelectronics/STM32CubeH7RS,https://github.com/STMicroelectronics/STM32CubeH7RS,41,7,0,0,0,0,0
STMicroelectronics/STM32CubeL4,https://github.com/STMicroelectronics/STM32CubeL4,325,168,3,1,11,3,14
STMicroelectronics/STM32CubeMP1,https://github.com/STMicroelectronics/STM32CubeMP1,111,63,0,3,17,0,17
STMicroelectronics/STM32CubeMP13,https://github.com/STMicroelectronics/STM32CubeMP13,25,10,4,0,0,0,0
STMicroelectronics/STM32Cube_MCU_Overall_Offer,https://github.com/STMicroelectronics/STM32Cube_MCU_Overall_Offer,696,108,0,0,2,3,5
STMicroelectronics/STM32MPU_EmbSW_Overall_Offer,https://github.com/STMicroelectronics/STM32MPU_EmbSW_Overall_Offer,117,36,0,0,1,0,1
STMicroelectronics/arm-trusted-firmware,https://github.com/STMicroelectronics/arm-trusted-firmware,40,59,0,0,12,0,12
STMicroelectronics/asm330lhb-pid,https://github.com/STMicroelectronics/asm330lhb-pid,3,1,0,0,0,0,0
STMicroelectronics/asm330lhh-pid,https://github.com/STMicroelectronics/asm330lhh-pid,13,3,2,0,0,0,0
STMicroelectronics/cmsis-device-f0,https://github.com/STMicroelectronics/cmsis-device-f0,13,10,0,0,2,1,3
STMicroelectronics/cmsis-device-f4,https://github.com/STMicroelectronics/cmsis-device-f4,118,38,0,0,5,0,5
STMicroelectronics/cmsis-device-f7,https://github.com/STMicroelectronics/cmsis-device-f7,15,7,0,0,0,1,1
